clade	lineage
20E	B.1.177.20
20E	B.1.177.21
20E	B.1.177.23
20E	B.1.177.24
20E	B.1.177.25
20E	B.1.177.26
20E	B.1.177.28
20E	B.1.177.29
20E	B.1.177.3
20E	B.1.177.30
20E	B.1.177.32
20E	B.1.177.33
20E	B.1.177.35
20E	B.1.177.38
20E	B.1.177.39
20E	B.1.177.4
20E	B.1.177.40
20E	B.1.177.41
20E	B.1.177.42
20E	B.1.177.43
20E	B.1.177.44
20E	B.1.177.44_no29366T
20E	B.1.177.45
20E	B.1.177.46
20E	B.1.177.47
20E	B.1.177.48
20E	B.1.177.5
20E	B.1.177.50
20E	B.1.177.51
20E	B.1.177.52
20E	B.1.177.53
20E	B.1.177.54
20E	B.1.177.55
20E	B.1.177.56
20E	B.1.177.57
20E	B.1.177.58
20E	B.1.177.59
20E	B.1.177.6
20E	B.1.177.60
20E	B.1.177.61
20E	B.1.177.62
20E	B.1.177.63
20E	B.1.177.64
20E	B.1.177.65
20E	B.1.177.67
20E	B.1.177.68
20E	B.1.177.69
20E	B.1.177.7
20E	B.1.177.70
20E	B.1.177.71
20E	B.1.177.72
20E	B.1.177.73
20E	B.1.177.74
20E	B.1.177.75
20E	B.1.177.76
20E	B.1.177.77
20E	B.1.177.8
20E	B.1.177.80
20E	B.1.177.81
20E	B.1.177.82
20E	B.1.177.83
20E	B.1.177.84
20E	B.1.177.85
20E	B.1.177.86
20E	B.1.177.87
20E	B.1.177.89
20E	B.1.177.9
20E	U.1
20E	U.3
20E	V.1
20E	V.2
20E	W.1
20E	W.2
20E	W.3
20E	W.4
20E	Y.1
20E	Z.1
20F	D.2
20G	B.1.2
20H (Beta)	B.1.351
20H (Beta)	B.1.351.2
20H (Beta)	B.1.351.3
20H (Beta)	B.1.351.5
20I (Alpha)	B.1.1.7
20I (Alpha)	B.1.1.7_dropout
20I (Alpha)	Q.1
20I (Alpha)	Q.1_21770
20I (Alpha)	Q.2
20I (Alpha)	Q.3
20I (Alpha)	Q.4
20I (Alpha)	Q.6
20I (Alpha)	Q.7
20I (Alpha)	Q.8
20J (Gamma)	P.1
20J (Gamma)	P.1.1
20J (Gamma)	P.1.10
20J (Gamma)	P.1.11
20J (Gamma)	P.1.12
20J (Gamma)	P.1.12.1
20J (Gamma)	P.1.13
20J (Gamma)	P.1.14
20J (Gamma)	P.1.15
20J (Gamma)	P.1.16
20J (Gamma)	P.1.17
20J (Gamma)	P.1.17.1
20J (Gamma)	P.1.2
20J (Gamma)	P.1.4
20J (Gamma)	P.1.5
20J (Gamma)	P.1.6
20J (Gamma)	P.1.7
20J (Gamma)	P.1.7.1
20J (Gamma)	P.1.8
20J (Gamma)	P.1.9
21A (Delta)	B.1.617.2
21B (Kappa)	B.1.617.1
21C (Epsilon)	B.1.427
21C (Epsilon)	B.1.429
21C (Epsilon)	B.1.429.1
21D (Eta)	B.1.525
21E (Theta)	P.3
21F (Iota)	B.1.526
21G (Lambda)	B.1.1.1
21G (Lambda)	C.37
21G (Lambda)	C.37.1
21H (Mu)	B.1
21H (Mu)	B.1.621
21H (Mu)	B.1.621.1
21H (Mu)	B.1.621.2
21H (Mu)	BB.2
21I (Delta)	AY.10
21I (Delta)	AY.11
21I (Delta)	AY.13
21I (Delta)	AY.133
21I (Delta)	AY.14
21I (Delta)	AY.15
21I (Delta)	AY.16
21I (Delta)	AY.16.1
21I (Delta)	AY.17
21I (Delta)	AY.19
21I (Delta)	AY.2
21I (Delta)	AY.24
21I (Delta)	AY.24.1
21I (Delta)	AY.26
21I (Delta)	AY.26.1
21I (Delta)	AY.27
21I (Delta)	AY.28
21I (Delta)	AY.30
21I (Delta)	AY.31
21I (Delta)	AY.35
21I (Delta)	AY.37
21I (Delta)	AY.38
21I (Delta)	AY.47
21I (Delta)	AY.48
21I (Delta)	AY.49
21I (Delta)	AY.50
21I (Delta)	AY.51
21I (Delta)	AY.52
21I (Delta)	AY.53
21I (Delta)	AY.54
21I (Delta)	AY.55
21I (Delta)	AY.56
21I (Delta)	AY.57
21I (Delta)	AY.58
21I (Delta)	AY.59
21I (Delta)	AY.60
21I (Delta)	AY.61
21I (Delta)	AY.62
21I (Delta)	AY.63
21I (Delta)	AY.64
21I (Delta)	AY.65
21I (Delta)	AY.66
21I (Delta)	AY.67
21I (Delta)	AY.68
21I (Delta)	AY.69
21I (Delta)	AY.70
21I (Delta)	AY.71
21I (Delta)	AY.72
21I (Delta)	AY.73
21I (Delta)	AY.74
21I (Delta)	AY.75
21I (Delta)	AY.75.2
21I (Delta)	AY.75.3
21I (Delta)	AY.8
21I (Delta)	AY.9
21I (Delta)	AY.9.2
21I (Delta)	AY.9.2.2
21I (Delta)	B.1.617.2
21J (Delta)	AY.1
21J (Delta)	AY.100
21J (Delta)	AY.101
21J (Delta)	AY.102
21J (Delta)	AY.103
21J (Delta)	AY.103.1
21J (Delta)	AY.104
21J (Delta)	AY.105
21J (Delta)	AY.106
21J (Delta)	AY.107
21J (Delta)	AY.108
21J (Delta)	AY.109
21J (Delta)	AY.110
21J (Delta)	AY.111
21J (Delta)	AY.112
21J (Delta)	AY.112.1
21J (Delta)	AY.112.2
21J (Delta)	AY.112.3
21J (Delta)	AY.113
21J (Delta)	AY.114
21J (Delta)	AY.116
21J (Delta)	AY.116.1
21J (Delta)	AY.117
21J (Delta)	AY.118
21J (Delta)	AY.119
21J (Delta)	AY.119.1
21J (Delta)	AY.119.2
21J (Delta)	AY.120
21J (Delta)	AY.120.1
21J (Delta)	AY.120.2
21J (Delta)	AY.120.2.1
21J (Delta)	AY.121
21J (Delta)	AY.121.1
21J (Delta)	AY.122
21J (Delta)	AY.122.1
21J (Delta)	AY.122.2
21J (Delta)	AY.122.3
21J (Delta)	AY.122.4
21J (Delta)	AY.122.5
21J (Delta)	AY.122.6
21J (Delta)	AY.123
21J (Delta)	AY.123.1
21J (Delta)	AY.124
21J (Delta)	AY.124.1
21J (Delta)	AY.124.1.1
21J (Delta)	AY.125
21J (Delta)	AY.125.1
21J (Delta)	AY.126
21J (Delta)	AY.127
21J (Delta)	AY.127.1
21J (Delta)	AY.128
21J (Delta)	AY.129
21J (Delta)	AY.130
21J (Delta)	AY.131
21J (Delta)	AY.132
21J (Delta)	AY.134
21J (Delta)	AY.20
21J (Delta)	AY.20.1
21J (Delta)	AY.21
21J (Delta)	AY.22
21J (Delta)	AY.23
21J (Delta)	AY.23.1
21J (Delta)	AY.23.2
21J (Delta)	AY.25
21J (Delta)	AY.25.1
21J (Delta)	AY.25.1.1
21J (Delta)	AY.25.1.2
21J (Delta)	AY.25.2
21J (Delta)	AY.25.3
21J (Delta)	AY.29
21J (Delta)	AY.29.1
21J (Delta)	AY.29.2
21J (Delta)	AY.3
21J (Delta)	AY.3.1
21J (Delta)	AY.32
21J (Delta)	AY.3.3
21J (Delta)	AY.33
21J (Delta)	AY.33.1
21J (Delta)	AY.33.2
21J (Delta)	AY.3.4
21J (Delta)	AY.34
21J (Delta)	AY.34.1
21J (Delta)	AY.34.1.1
21J (Delta)	AY.34.2
21J (Delta)	AY.36
21J (Delta)	AY.36.1
21J (Delta)	AY.39
21J (Delta)	AY.39.1
21J (Delta)	AY.39.1.1
21J (Delta)	AY.39.1.2
21J (Delta)	AY.39.1.3
21J (Delta)	AY.39.1.4
21J (Delta)	AY.39.2
21J (Delta)	AY.39.3
21J (Delta)	AY.4
21J (Delta)	AY.4.1
21J (Delta)	AY.41
21J (Delta)	AY.4.10
21J (Delta)	AY.4.11
