clade	lineage
22D (BA.2.75)	BN.1.5.1
22D (BA.2.75)	BN.1.5.2
22D (BA.2.75)	BN.1.6
22D (BA.2.75)	BN.1.7
22D (BA.2.75)	BN.1.8
22D (BA.2.75)	BN.1.9
22D (BA.2.75)	BN.2
22D (BA.2.75)	BN.2.1
22D (BA.2.75)	BN.3
22D (BA.2.75)	BN.3.1
22D (BA.2.75)	BN.4
22D (BA.2.75)	BN.5
22D (BA.2.75)	BN.6
22D (BA.2.75)	BR.1
22D (BA.2.75)	BR.1.2
22D (BA.2.75)	BR.2
22D (BA.2.75)	BR.2.1
22D (BA.2.75)	BR.3
22D (BA.2.75)	BR.4
22D (BA.2.75)	BR.5
22D (BA.2.75)	BR.5.1
22D (BA.2.75)	BY.1
22D (BA.2.75)	BY.1.1
22D (BA.2.75)	BY.1.1.1
22D (BA.2.75)	BY.1.2
22D (BA.2.75)	BY.1.2.1
22D (BA.2.75)	CA.1
22D (BA.2.75)	CA.2
22D (BA.2.75)	CA.3
22D (BA.2.75)	CA.3.1
22D (BA.2.75)	CA.5
22D (BA.2.75)	CA.6
22D (BA.2.75)	CA.7
22D (BA.2.75)	CB.1
22D (BA.2.75)	CH.1
22D (BA.2.75)	CH.2
22D (BA.2.75)	CH.3
22D (BA.2.75)	CH.3.1
22D (BA.2.75)	CJ.1
22D (BA.2.75)	CJ.1.1
22D (BA.2.75)	CJ.1.2
22D (BA.2.75)	CJ.1.3
22D (BA.2.75)	CJ.1.3.1
22D (BA.2.75)	CJ.1.3.2
22D (BA.2.75)	CV.1
22D (BA.2.75)	CV.2
22D (BA.2.75)	DS.1
22D (BA.2.75)	DS.2
22D (BA.2.75)	DS.3
22D (BA.2.75)	EJ.1
22D (BA.2.75)	EJ.2
22D (BA.2.75)	EP.1
22D (BA.2.75)	EP.1.1
22D (BA.2.75)	EP.1.1.1
22D (BA.2.75)	EP.2
22D (BA.2.75)	FR.1
22D (BA.2.75)	FR.1.1
22D (BA.2.75)	FR.1.2
22D (BA.2.75)	FR.1.3
22D (BA.2.75)	FR.1.4
22D (BA.2.75)	FR.1.5
22D (BA.2.75)	FR.2
22D (BA.2.75)	miscBA.5.2CJ.1
22D (BA.2.75)	XBD
22D (BA.2.75)	XBF
22D (BA.2.75)	XBF.1
22D (BA.2.75)	XBF.10
22D (BA.2.75)	XBF.1.1
22D (BA.2.75)	XBF.2
22D (BA.2.75)	XBF.3
22D (BA.2.75)	XBF.4
22D (BA.2.75)	XBF.5
22D (BA.2.75)	XBF.6
22D (BA.2.75)	XBF.7
22D (BA.2.75)	XBF.7.1
22D (BA.2.75)	XBF.8
22D (BA.2.75)	XBF.8.1
22D (BA.2.75)	XBF.9
22D (BA.2.75)	XBH
22D (BA.2.75)	XBK
22D (BA.2.75)	XBK.1
22D (BA.2.75)	XBP
22D (BA.2.75)	XBQ
22D (BA.2.75)	XBR
22D (BA.2.75)	XBS
22D (BA.2.75)	XBU
22D (BA.2.75)	XCA
22D (BA.2.75)	XCN
22D (BA.2.75)	XDH
22E (BQ.1)	BQ.1
22E (BQ.1)	BQ.1.1
22E (BQ.1)	BQ.1.10
22E (BQ.1)	BQ.1.10.1
22E (BQ.1)	BQ.1.10.2
22E (BQ.1)	BQ.1.10.3
22E (BQ.1)	BQ.1.1.1
22E (BQ.1)	BQ.1.11
22E (BQ.1)	BQ.1.1.10
22E (BQ.1)	BQ.1.1.11
22E (BQ.1)	BQ.1.11.1
22E (BQ.1)	BQ.1.1.12
22E (BQ.1)	BQ.1.1.13
22E (BQ.1)	BQ.1.1.14
22E (BQ.1)	BQ.1.1.15
22E (BQ.1)	BQ.1.1.16
22E (BQ.1)	BQ.1.1.17
22E (BQ.1)	BQ.1.1.18
22E (BQ.1)	BQ.1.1.19
22E (BQ.1)	BQ.1.1.2
22E (BQ.1)	BQ.1.12
22E (BQ.1)	BQ.1.1.20
22E (BQ.1)	BQ.1.1.21
22E (BQ.1)	BQ.1.1.22
22E (BQ.1)	BQ.1.1.23
22E (BQ.1)	BQ.1.1.24
22E (BQ.1)	BQ.1.1.25
22E (BQ.1)	BQ.1.1.26
22E (BQ.1)	BQ.1.1.27
22E (BQ.1)	BQ.1.1.28
22E (BQ.1)	BQ.1.1.29
22E (BQ.1)	BQ.1.1.3
22E (BQ.1)	BQ.1.13
22E (BQ.1)	BQ.1.1.30
22E (BQ.1)	BQ.1.1.31
22E (BQ.1)	BQ.1.13.1
22E (BQ.1)	BQ.1.1.32
22E (BQ.1)	BQ.1.1.34
22E (BQ.1)	BQ.1.1.35
22E (BQ.1)	BQ.1.1.36
22E (BQ.1)	BQ.1.1.37
22E (BQ.1)	BQ.1.1.38
22E (BQ.1)	BQ.1.1.39
22E (BQ.1)	BQ.1.1.4
22E (BQ.1)	BQ.1.14
22E (BQ.1)	BQ.1.1.40
22E (BQ.1)	BQ.1.1.41
22E (BQ.1)	BQ.1.1.42
22E (BQ.1)	BQ.1.1.43
22E (BQ.1)	BQ.1.1.44
22E (BQ.1)	BQ.1.1.45
22E (BQ.1)	BQ.1.1.46
22E (BQ.1)	BQ.1.1.46_25406
22E (BQ.1)	BQ.1.1.47
22E (BQ.1)	BQ.1.1.48
22E (BQ.1)	BQ.1.1.49
22E (BQ.1)	BQ.1.1.5
22E (BQ.1)	BQ.1.15
22E (BQ.1)	BQ.1.1.50
22E (BQ.1)	BQ.1.1.51
22E (BQ.1)	BQ.1.15.1
22E (BQ.1)	BQ.1.1.52
22E (BQ.1)	BQ.1.15.2
22E (BQ.1)	BQ.1.1.53
22E (BQ.1)	BQ.1.1.54
22E (BQ.1)	BQ.1.1.55
22E (BQ.1)	BQ.1.1.56
22E (BQ.1)	BQ.1.1.57
22E (BQ.1)	BQ.1.1.58
22E (BQ.1)	BQ.1.1.59
22E (BQ.1)	BQ.1.1.6
22E (BQ.1)	BQ.1.16
22E (BQ.1)	BQ.1.1.60
22E (BQ.1)	BQ.1.1.61
22E (BQ.1)	BQ.1.1.62
22E (BQ.1)	BQ.1.1.63
22E (BQ.1)	BQ.1.1.64
22E (BQ.1)	BQ.1.1.65
22E (BQ.1)	BQ.1.1.66
22E (BQ.1)	BQ.1.1.67
22E (BQ.1)	BQ.1.1.68
22E (BQ.1)	BQ.1.1.69
22E (BQ.1)	BQ.1.1.7
22E (BQ.1)	BQ.1.17
22E (BQ.1)	BQ.1.1.70
22E (BQ.1)	BQ.1_17039
22E (BQ.1)	BQ.1.1.71
22E (BQ.1)	BQ.1.1.72
22E (BQ.1)	BQ.1.1.73
22E (BQ.1)	BQ.1.1.74
22E (BQ.1)	BQ.1.1.76
22E (BQ.1)	BQ.1.1.77
22E (BQ.1)	BQ.1.1.78
22E (BQ.1)	BQ.1.1.79
22E (BQ.1)	BQ.1.1.8
22E (BQ.1)	BQ.1.18
22E (BQ.1)	BQ.1.1.9
22E (BQ.1)	BQ.1.19
22E (BQ.1)	BQ.1.2
22E (BQ.1)	BQ.1.20
22E (BQ.1)	BQ.1.2.1
22E (BQ.1)	BQ.1.21
22E (BQ.1)	BQ.1.2.2
22E (BQ.1)	BQ.1.22
22E (BQ.1)	BQ.1.2.3
22E (BQ.1)	BQ.1.23
22E (BQ.1)	BQ.1.24
22E (BQ.1)	BQ.1.25
22E (BQ.1)	BQ.1.25.1
22E (BQ.1)	BQ.1.26
22E (BQ.1)	BQ.1.26.1
22E (BQ.1)	BQ.1.26.2
22E (BQ.1)	BQ.1.27
22E (BQ.1)	BQ.1.28
22E (BQ.1)	BQ.1.29
22E (BQ.1)	BQ.1.3
22E (BQ.1)	BQ.1.30
22E (BQ.1)	BQ.1.3.1
22E (BQ.1)	BQ.1.31
22E (BQ.1)	BQ.1.3.2
22E (BQ.1)	BQ.1.32
22E (BQ.1)	BQ.1.33
22E (BQ.1)	BQ.1.4
22E (BQ.1)	BQ.1.5
22E (BQ.1)	BQ.1.6
22E (BQ.1)	BQ.1.7
22E (BQ.1)	BQ.1.8
22E (BQ.1)	BQ.1.8.1
22E (BQ.1)	BQ.1.8.2
22E (BQ.1)	BQ.1.9
22E (BQ.1)	CW.1
22E (BQ.1)	CZ.1
22E (BQ.1)	CZ.2
22E (BQ.1)	DK.1
22E (BQ.1)	DM.1
22E (BQ.1)	DN.1
22E (BQ.1)	DN.1.1
22E (BQ.1)	DN.1.1.1
22E (BQ.1)	DN.1.1.2
22E (BQ.1)	DN.1.1.3
22E (BQ.1)	DN.1.1.4
22E (BQ.1)	DN.2
22E (BQ.1)	DN.3
22E (BQ.1)	DN.3.1
22E (BQ.1)	DP.1
22E (BQ.1)	DR.1
22E (BQ.1)	DR.2
22E (BQ.1)	DT.1
22E (BQ.1)	DT.2
22E (BQ.1)	DT.3
22E (BQ.1)	DU.1
22E (BQ.1)	EA.1
22E (BQ.1)	EA.2
22E (BQ.1)	EC.1
22E (BQ.1)	EC.1.1
22E (BQ.1)	ED.1
22E (BQ.1)	ED.2
22E (BQ.1)	ED.3
22E (BQ.1)	EE.1
22E (BQ.1)	EE.2
22E (BQ.1)	EE.3
22E (BQ.1)	EE.4
22E (BQ.1)	EE.5
22E (BQ.1)	EF.1
22E (BQ.1)	EF.1.1
22E (BQ.1)	EF.1.1.1
22E (BQ.1)	EF.1.2
22E (BQ.1)	EF.1.3
22E (BQ.1)	EF.2
22E (BQ.1)	EF.3
22E (BQ.1)	EH.1
22E (BQ.1)	EN.1
22E (BQ.1)	EN.1.1
22E (BQ.1)	ER.1
22E (BQ.1)	ER.1.1
22E (BQ.1)	ES.1
22E (BQ.1)	ET.1
22E (BQ.1)	EV.1
22E (BQ.1)	EW.1
22E (BQ.1)	EW.2
22E (BQ.1)	EW.3
22E (BQ.1)	EY.1
22E (BQ.1)	EZ.1
22E (BQ.1)	FA.1
22E (BQ.1)	FA.2
22E (BQ.1)	FB.1
22E (BQ.1)	FB.2
22E (BQ.1)	FC.1
22E (BQ.1)	FF.1
22E (BQ.1)	FM.1
22E (BQ.1)	FM.2
22E (BQ.1)	FN.1
22E (BQ.1)	FQ.1
22E (BQ.1)	JH.1
22E (BQ.1)	JH.2
22E (BQ.1)	XBZ
22F (XBB)	FE.1
22F (XBB)	FE.1.1
22F (XBB)	FE.1.1.1
22F (XBB)	FE.1.1.2
22F (XBB)	FE.1.1.3
22F (XBB)	FE.1.1.4
22F (XBB)	FE.1.1.5
22F (XBB)	FE.1.2
22F (XBB)	FP.1
22F (XBB)	FP.2
22F (XBB)	FP.2.1
22F (XBB)	FP.2.1.1
22F (XBB)	FP.3
22F (XBB)	FP.4
22F (XBB)	FW.1
22F (XBB)	FW.1.1
22F (XBB)	FW.1.1.1
22F (XBB)	FW.2
22F (XBB)	FW.3
22F (XBB)	FY.1
22F (XBB)	FY.1.1
22F (XBB)	FY.1.2
22F (XBB)	FY.1.2.1
22F (XBB)	FY.1.2.2
22F (XBB)	FY.1.2.3
22F (XBB)	FY.1.4
22F (XBB)	FY.1.4.1
22F (XBB)	FY.2
22F (XBB)	FY.2.1
22F (XBB)	FY.3
22F (XBB)	FY.3.1
22F (XBB)	FY.3.2
22F (XBB)	FY.3.3
22F (XBB)	FY.4
22F (XBB)	FY.4.1
22F (XBB)	FY.4.1.1
22F (XBB)	FY.4.1.2
22F (XBB)	FY.4.2
22F (XBB)	FY.5
22F (XBB)	FY.5.1
22F (XBB)	FY.5.1.1
22F (XBB)	FY.5.2
22F (XBB)	FY.5.3
22F (XBB)	FY.5.4
22F (XBB)	FY.5.5
22F (XBB)	FY.5.5.1
22F (XBB)	FY.6
22F (XBB)	FY.6.1
22F (XBB)	FY.6_2935
22F (XBB)	FY.7
22F (XBB)	FY.8
22F (XBB)	FY.8.1
22F (XBB)	FY.8.1.1
22F (XBB)	FY.9
22F (XBB)	GA.1
22F (XBB)	GA.10
22F (XBB)	GA.10.1
22F (XBB)	GA.2
22F (XBB)	GA.2.1.1
22F (XBB)	GA.3
22F (XBB)	GA.4
22F (XBB)	GA.4.1
22F (XBB)	GA.4.1.1
22F (XBB)	GA.4.1.2
22F (XBB)	GA.4.1.3
22F (XBB)	GA.4.2
22F (XBB)	GA.5
22F (XBB)	GA.6
22F (XBB)	GA.6.1
22F (XBB)	GA.7
22F (XBB)	GA.7.1
22F (XBB)	GA.7.2
22F (XBB)	GA.8
22F (XBB)	GA.8.1
22F (XBB)	GA.9
22F (XBB)	GF.1
22F (XBB)	GH.1
22F (XBB)	GW.1
22F (XBB)	GW.1.1
22F (XBB)	GW.2
22F (XBB)	GW.3
22F (XBB)	GW.4
22F (XBB)	GW.5
22F (XBB)	GW.5.1
22F (XBB)	GW.5.1.1
22F (XBB)	GW.5.2
22F (XBB)	GW.5.3
22F (XBB)	GW.5.3.1
22F (XBB)	HB.1
22F (XBB)	HE.1
22F (XBB)	HE.2
22F (XBB)	HU.1
22F (XBB)	HU.1.1
22F (XBB)	HU.2
22F (XBB)	JC.1
22F (XBB)	JC.2
22F (XBB)	JC.3
22F (XBB)	JC.4
22F (XBB)	JC.5
22F (XBB)	JC.5.1
22F (XBB)	JC.6
22F (XBB)	JW.1
22F (XBB)	JW.1.1
22F (XBB)	KE.1
22F (XBB)	KE.2
22F (XBB)	KE.3
22F (XBB)	XBB
22F (XBB)	XBB.1
22F (XBB)	XBB.1.1
22F (XBB)	XBB.1.10
22F (XBB)	XBB.1.11
22F (XBB)	XBB.1.11.1
22F (XBB)	XBB.1.12
22F (XBB)	XBB.1.12.1
22F (XBB)	XBB.1.13
22F (XBB)	XBB.1.13.1
22F (XBB)	XBB.1.14
22F (XBB)	XBB.1.14.1
22F (XBB)	XBB.1.15
22F (XBB)	XBB.1.15.1
22F (XBB)	XBB.1.17
22F (XBB)	XBB.1.17.1
22F (XBB)	XBB.1.18
22F (XBB)	XBB.1.18.1
22F (XBB)	XBB.1.19
22F (XBB)	XBB.1.19.1
22F (XBB)	XBB.1.19.2
22F (XBB)	XBB.1.20
22F (XBB)	XBB.1.21
22F (XBB)	XBB.1.22
22F (XBB)	XBB.1.22.1
22F (XBB)	XBB.1.22.2
22F (XBB)	XBB.1.22.3
22F (XBB)	XBB.1.23
22F (XBB)	XBB.1.24
22F (XBB)	XBB.1.24.1
22F (XBB)	XBB.1.24.3
22F (XBB)	XBB.1.25
22F (XBB)	XBB.1.27
22F (XBB)	XBB.1.28
22F (XBB)	XBB.1.28.1
22F (XBB)	XBB.1.29
22F (XBB)	XBB.1.3
22F (XBB)	XBB.1.30
22F (XBB)	XBB.1.31
22F (XBB)	XBB.1.31.2
22F (XBB)	XBB.1.32
22F (XBB)	XBB.1.33
22F (XBB)	XBB.1.34
22F (XBB)	XBB.1.34.1
22F (XBB)	XBB.1.34.2
22F (XBB)	XBB.1.35
22F (XBB)	XBB.1.36
22F (XBB)	XBB.1.37
22F (XBB)	XBB.1.37.1
22F (XBB)	XBB.1.38
22F (XBB)	XBB.1.38.1
22F (XBB)	XBB.1.39
22F (XBB)	XBB.1.4
22F (XBB)	XBB.1.40
22F (XBB)	XBB.1.4.1
22F (XBB)	XBB.1.41
22F (XBB)	XBB.1.41.1
22F (XBB)	XBB.1.41.2
22F (XBB)	XBB.1.41.3
22F (XBB)	XBB.1.4.2
22F (XBB)	XBB.1.43
22F (XBB)	XBB.1.43.1
22F (XBB)	XBB.1.44
22F (XBB)	XBB.1.44.1
22F (XBB)	XBB.1.45
22F (XBB)	XBB.1.45.1
22F (XBB)	XBB.1.46
22F (XBB)	XBB.1.47
22F (XBB)	XBB.1.47.1
22F (XBB)	XBB.1.48
22F (XBB)	XBB.1.5
22F (XBB)	XBB.1.5.110
22F (XBB)	XBB.1.5.22
22F (XBB)	XBB.1.5.23
22F (XBB)	XBB.1.5.24
22F (XBB)	XBB.1.5.43
22F (XBB)	XBB.1.5.45
22F (XBB)	XBB.1.5.57
22F (XBB)	XBB.1.5.58
22F (XBB)	XBB.1.5.87
22F (XBB)	XBB.1.6
22F (XBB)	XBB.1.7
22F (XBB)	XBB.1.8
22F (XBB)	XBB.2
22F (XBB)	XBB.2.1
22F (XBB)	XBB.2.10
22F (XBB)	XBB.2.11
22F (XBB)	XBB.2.11.1
22F (XBB)	XBB.2.12
22F (XBB)	XBB.2.2
22F (XBB)	XBB.2.4
22F (XBB)	XBB.2.5
22F (XBB)	XBB.2.6
22F (XBB)	XBB.2.6.1
22F (XBB)	XBB.2.6.2
22F (XBB)	XBB.2.6.3
22F (XBB)	XBB.2.7
22F (XBB)	XBB.2.7.1
22F (XBB)	XBB.2.8
22F (XBB)	XBB.2.9
22F (XBB)	XBB.3
22F (XBB)	XBB.3.1
22F (XBB)	XBB.3.2
22F (XBB)	XBB.3.3
22F (XBB)	XBB.3.4
22F (XBB)	XBB.3.5
22F (XBB)	XBB.4
22F (XBB)	XBB.4.1
22F (XBB)	XBB.5
22F (XBB)	XBB.6
22F (XBB)	XBB.6.1
22F (XBB)	XBB.7
22F (XBB)	XBB.8
22F (XBB)	XBB.8.1
22F (XBB)	XBB.8.2
22F (XBB)	XBB.9
22F (XBB)	XBL
22F (XBB)	XBL.1
22F (XBB)	XBL.2
22F (XBB)	XBL.3
22F (XBB)	XBL.3.1
22F (XBB)	XBN
22F (XBB)	XBV
22F (XBB)	XCC
22F (XBB)	XCE
22F (XBB)	XCG
22F (XBB)	XCM
22F (XBB)	XDE
23A (XBB.1.5)	EK.1
23A (XBB.1.5)	EK.2
23A (XBB.1.5)	EK.2.1
23A (XBB.1.5)	EK.3
23A (XBB.1.5)	EK.4
23A (XBB.1.5)	EL.1
23A (XBB.1.5)	EM.1
23A (XBB.1.5)	EU.1
23A (XBB.1.5)	EU.1.1
23A (XBB.1.5)	EU.1.1.1
23A (XBB.1.5)	EU.1.1.2
23A (XBB.1.5)	EU.1.1.3
23A (XBB.1.5)	FD.1
23A (XBB.1.5)	FD.1.1
23A (XBB.1.5)	FD.2
23A (XBB.1.5)	FD.3
23A (XBB.1.5)	FD.4
23A (XBB.1.5)	FD.4.1
23A (XBB.1.5)	FD.5
23A (XBB.1.5)	FD.5.1
23A (XBB.1.5)	FG.1
23A (XBB.1.5)	FG.2
23A (XBB.1.5)	FG.3
23A (XBB.1.5)	FH.1
23A (XBB.1.5)	FT.1
23A (XBB.1.5)	FT.2
23A (XBB.1.5)	FT.3
23A (XBB.1.5)	FT.3.1
23A (XBB.1.5)	FT.3.1.1
23A (XBB.1.5)	FT.4
23A (XBB.1.5)	FZ.1
23A (XBB.1.5)	FZ.1.1
23A (XBB.1.5)	FZ.2
23A (XBB.1.5)	GB.1
23A (XBB.1.5)	GB.2
23A (XBB.1.5)	GC.1
23A (XBB.1.5)	GC.2
23A (XBB.1.5)	GG.1
23A (XBB.1.5)	GN.1
23A (XBB.1.5)	GN.1.1
23A (XBB.1.5)	GN.1.2
23A (XBB.1.5)	GN.1.3
23A (XBB.1.5)	GN.1.4
23A (XBB.1.5)	GN.2
23A (XBB.1.5)	GN.3
23A (XBB.1.5)	GN.4
23A (XBB.1.5)	GN.5
23A (XBB.1.5)	GR.1
23A (XBB.1.5)	GU.1
23A (XBB.1.5)	GV.1
23A (XBB.1.5)	HA.1
23A (XBB.1.5)	HA.2
23A (XBB.1.5)	HC.1
23A (XBB.1.5)	HC.2
23A (XBB.1.5)	HC.3
23A (XBB.1.5)	HC.4
23A (XBB.1.5)	HD.1
23A (XBB.1.5)	HD.1.1
23A (XBB.1.5)	HJ.1
23A (XBB.1.5)	HP.1
23A (XBB.1.5)	HP.1.1
23A (XBB.1.5)	HQ.1
23A (XBB.1.5)	HR.1
23A (XBB.1.5)	HR.1.1
23A (XBB.1.5)	HS.1
23A (XBB.1.5)	HS.1.1
23A (XBB.1.5)	HT.1
23A (XBB.1.5)	HT.2
23A (XBB.1.5)	HY.1
23A (XBB.1.5)	HZ.1
23A (XBB.1.5)	HZ.2
23A (XBB.1.5)	HZ.3
23A (XBB.1.5)	JB.1
23A (XBB.1.5)	JB.1.1
23A (XBB.1.5)	JB.2
23A (XBB.1.5)	JB.2.1
23A (XBB.1.5)	JD.1
23A (XBB.1.5)	JD.1.1
23A (XBB.1.5)	JD.1.1.1
23A (XBB.1.5)	JD.1.1.2
23A (XBB.1.5)	JD.1.1.3
23A (XBB.1.5)	JD.1.1.4
23A (XBB.1.5)	JD.1.1.5
23A (XBB.1.5)	JD.1.1.6
23A (XBB.1.5)	JD.1.1.7
23A (XBB.1.5)	JD.1.1.8
23A (XBB.1.5)	JD.1.2
23A (XBB.1.5)	JD.1.2.1
23A (XBB.1.5)	JD.1.2.2
23A (XBB.1.5)	JD.2
23A (XBB.1.5)	JD.2.1
23A (XBB.1.5)	JK.1
23A (XBB.1.5)	JZ.1
23A (XBB.1.5)	KA.1
23A (XBB.1.5)	KK.1
23A (XBB.1.5)	KK.2
23A (XBB.1.5)	XBB.1.5.1
23A (XBB.1.5)	XBB.1.5.10
23A (XBB.1.5)	XBB.1.5.100
23A (XBB.1.5)	XBB.1.5.101
23A (XBB.1.5)	XBB.1.5.102
23A (XBB.1.5)	XBB.1.5.103
23A (XBB.1.5)	XBB.1.5.104
23A (XBB.1.5)	XBB.1.5.105
23A (XBB.1.5)	XBB.1.5.106
23A (XBB.1.5)	XBB.1.5.107
23A (XBB.1.5)	XBB.1.5.108
23A (XBB.1.5)	XBB.1.5.109
23A (XBB.1.5)	XBB.1.5.11
23A (XBB.1.5)	XBB.1.5.12
23A (XBB.1.5)	XBB.1.5.13
23A (XBB.1.5)	XBB.1.5.14
23A (XBB.1.5)	XBB.1.5.15
23A (XBB.1.5)	XBB.1.5.16
23A (XBB.1.5)	XBB.1.5.17
23A (XBB.1.5)	XBB.1.5_17124
23A (XBB.1.5)	XBB.1.5.18
23A (XBB.1.5)	XBB.1.5.19
23A (XBB.1.5)	XBB.1.5.2
23A (XBB.1.5)	XBB.1.5.20
23A (XBB.1.5)	XBB.1.5.21
23A (XBB.1.5)	XBB.1.5.25
23A (XBB.1.5)	XBB.1.5.26
23A (XBB.1.5)	XBB.1.5.27
23A (XBB.1.5)	XBB.1.5.28
23A (XBB.1.5)	XBB.1.5.29
23A (XBB.1.5)	XBB.1.5.3
23A (XBB.1.5)	XBB.1.5.30
23A (XBB.1.5)	XBB.1.5.31
23A (XBB.1.5)	XBB.1.5.32
23A (XBB.1.5)	XBB.1.5.33
23A (XBB.1.5)	XBB.1.5.34
23A (XBB.1.5)	XBB.1.5.35
23A (XBB.1.5)	XBB.1.5.36
23A (XBB.1.5)	XBB.1.5.37
23A (XBB.1.5)	XBB.1.5.38
23A (XBB.1.5)	XBB.1.5.39
23A (XBB.1.5)	XBB.1.5.4
23A (XBB.1.5)	XBB.1.5.40
23A (XBB.1.5)	XBB.1.5.41
23A (XBB.1.5)	XBB.1.5.42
23A (XBB.1.5)	XBB.1.5.44
23A (XBB.1.5)	XBB.1.5.46
23A (XBB.1.5)	XBB.1.5.47
23A (XBB.1.5)	XBB.1.5.48
23A (XBB.1.5)	XBB.1.5.49
23A (XBB.1.5)	XBB.1.5.5
23A (XBB.1.5)	XBB.1.5.50
23A (XBB.1.5)	XBB.1.5.51
23A (XBB.1.5)	XBB.1.5.52
23A (XBB.1.5)	XBB.1.5.53
23A (XBB.1.5)	XBB.1.5.54
23A (XBB.1.5)	XBB.1.5.55
23A (XBB.1.5)	XBB.1.5.56
23A (XBB.1.5)	XBB.1.5.59
23A (XBB.1.5)	XBB.1.5.6
23A (XBB.1.5)	XBB.1.5.60
23A (XBB.1.5)	XBB.1.5.61
23A (XBB.1.5)	XBB.1.5.62
23A (XBB.1.5)	XBB.1.5.63
23A (XBB.1.5)	XBB.1.5.64
23A (XBB.1.5)	XBB.1.5.65
23A (XBB.1.5)	XBB.1.5.66
23A (XBB.1.5)	XBB.1.5.67
23A (XBB.1.5)	XBB.1.5.68
23A (XBB.1.5)	XBB.1.5.69
23A (XBB.1.5)	XBB.1.5.7
23A (XBB.1.5)	XBB.1.5.71
23A (XBB.1.5)	XBB.1.5.72
23A (XBB.1.5)	XBB.1.5.73
23A (XBB.1.5)	XBB.1.5.74
23A (XBB.1.5)	XBB.1.5.75
23A (XBB.1.5)	XBB.1.5.76
23A (XBB.1.5)	XBB.1.5.77
23A (XBB.1.5)	XBB.1.5.78
23A (XBB.1.5)	XBB.1.5.79
23A (XBB.1.5)	XBB.1.5.8
23A (XBB.1.5)	XBB.1.5.80
23A (XBB.1.5)	XBB.1.5.81
23A (XBB.1.5)	XBB.1.5.83
23A (XBB.1.5)	XBB.1.5.84
23A (XBB.1.5)	XBB.1.5.85
23A (XBB.1.5)	XBB.1.5.86
23A (XBB.1.5)	XBB.1.5.88
23A (XBB.1.5)	XBB.1.5.89
23A (XBB.1.5)	XBB.1.5.9
23A (XBB.1.5)	XBB.1.5.90
23A (XBB.1.5)	XBB.1.5.91
23A (XBB.1.5)	XBB.1.5.92
23A (XBB.1.5)	XBB.1.5.92_823
23A (XBB.1.5)	XBB.1.5.93
23A (XBB.1.5)	XBB.1.5.94
23A (XBB.1.5)	XBB.1.5.95
23A (XBB.1.5)	XBB.1.5.96
23A (XBB.1.5)	XBB.1.5.97
23A (XBB.1.5)	XBB.1.5.98
23A (XBB.1.5)	XBB.1.5.99
23A (XBB.1.5)	XBW
23A (XBB.1.5)	XCF
23A (XBB.1.5)	XCF.1
23A (XBB.1.5)	XCF.3
23A (XBB.1.5)	XCK
23A (XBB.1.5)	XCL
23A (XBB.1.5)	XCP
23B (XBB.1.16)	FU.1
23B (XBB.1.16)	FU.1.1
23B (XBB.1.16)	FU.1.1.1
23B (XBB.1.16)	FU.2
23B (XBB.1.16)	FU.2.1
23B (XBB.1.16)	FU.3
23B (XBB.1.16)	FU.3.1
23B (XBB.1.16)	FU.4
23B (XBB.1.16)	FU.5
23B (XBB.1.16)	GY.1
23B (XBB.1.16)	GY.1.1
23B (XBB.1.16)	GY.2.1
23B (XBB.1.16)	GY.3
23B (XBB.1.16)	GY.4
23B (XBB.1.16)	GY.5
23B (XBB.1.16)	GY.6
23B (XBB.1.16)	GY.7
23B (XBB.1.16)	GY.8
23B (XBB.1.16)	GY.9
23B (XBB.1.16)	HF.1
23B (XBB.1.16)	HF.1.1
23B (XBB.1.16)	HF.1.2
23B (XBB.1.16)	JF.1
23B (XBB.1.16)	JF.1.1
23B (XBB.1.16)	JF.1.1.2
23B (XBB.1.16)	JF.2
23B (XBB.1.16)	JF.3
23B (XBB.1.16)	JF.4
23B (XBB.1.16)	JM.1
23B (XBB.1.16)	JM.2
23B (XBB.1.16)	KJ.1
23B (XBB.1.16)	XBB.1.16
23B (XBB.1.16)	XBB.1.16.1
23B (XBB.1.16)	XBB.1.16.10
23B (XBB.1.16)	XBB.1.16.11
23B (XBB.1.16)	XBB.1.16.12
23B (XBB.1.16)	XBB.1.16.13
23B (XBB.1.16)	XBB.1.16.14
23B (XBB.1.16)	XBB.1.16.15
23B (XBB.1.16)	XBB.1.16.16
23B (XBB.1.16)	XBB.1.16.17
23B (XBB.1.16)	XBB.1.16.18
23B (XBB.1.16)	XBB.1.16.19
23B (XBB.1.16)	XBB.1.16.2
23B (XBB.1.16)	XBB.1.16.20
23B (XBB.1.16)	XBB.1.16.21
23B (XBB.1.16)	XBB.1.16.22
23B (XBB.1.16)	XBB.1.16.23
23B (XBB.1.16)	XBB.1.16.24
23B (XBB.1.16)	XBB.1.16.25
23B (XBB.1.16)	XBB.1.16.26
23B (XBB.1.16)	XBB.1.16.27
23B (XBB.1.16)	XBB.1.16.28
23B (XBB.1.16)	XBB.1.16.29
23B (XBB.1.16)	XBB.1.16.3
23B (XBB.1.16)	XBB.1.16.30
23B (XBB.1.16)	XBB.1.16.31
23B (XBB.1.16)	XBB.1.16.32
23B (XBB.1.16)	XBB.1.16.4
23B (XBB.1.16)	XBB.1.16.5
23B (XBB.1.16)	XBB.1.16.6
